trial_number,mean_r2,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,best_r2_so_far
40,0.9413475124596694,0.5443936221009888,0.4576208234030264,depthwise,0.1693438338137216,389,3,14,1086,0.08456964732684005,4.489256444370806,0.6428454703173033,COMPLETE,0.9540124400200207
41,0.9502678052940695,0.5510036985859588,0.7397188677616874,depthwise,0.19417744150081903,489,4,12,1502,0.4127812254550999,8.360939438164118,0.6690922322793371,COMPLETE,0.9540124400200207
42,0.9410106301700882,0.556420980322749,0.8144692981319481,depthwise,0.19076730548886364,432,4,11,1482,0.408066781019607,49.787379910914254,0.6642921130133477,COMPLETE,0.9540124400200207
43,0.9364548745636598,0.5057320439528504,0.3848121726862521,depthwise,0.12892857800195587,494,3,12,1076,0.7078850959949974,6.26013727749251,0.611341047490064,COMPLETE,0.9540124400200207
44,0.9394280421651328,0.6320381219860698,0.26914667336371867,depthwise,0.16083067015308275,460,4,14,600,2.1325425492657,2.6847904837205974,0.7038141519221152,COMPLETE,0.9540124400200207
45,0.9531814698153303,0.5314449409759532,0.6774817896599703,depthwise,0.12391039055504614,429,5,10,1918,0.11256705060926071,15.21431850058657,0.6281756587180498,COMPLETE,0.9540124400200207
46,0.9478704790159622,0.5359028685944146,0.732401255138714,depthwise,0.1976471890017213,512,3,10,1668,0.1102565478368512,27.817684527598583,0.6820254475549663,COMPLETE,0.9540124400200207
47,0.933960435810311,0.5748740101384021,0.8778616388799371,depthwise,0.12922157202116188,418,4,9,1296,0.03624661217830295,53.08465835712533,0.7235758207468432,COMPLETE,0.9540124400200207
48,0.93508988955506,0.5331368752502593,0.5451054599518294,depthwise,0.06553037648575737,496,5,16,1855,0.11259574902065937,16.586503601668564,0.6447623797571018,COMPLETE,0.9540124400200207
49,0.948527256833232,0.5012600215672588,1.7607480121772603,depthwise,0.07556668213684406,394,5,12,2343,0.06566631936385942,6.250898295043573,0.6007276209585427,COMPLETE,0.9540124400200207
50,0.9367844008924593,0.680668382738648,0.3554969069550602,depthwise,0.09320105059685133,460,4,17,1594,1.216481201550386,16.01765494109923,0.9991613164008715,COMPLETE,0.9540124400200207
51,0.9475639293628924,0.6309210346528077,0.680120880047726,depthwise,0.1275926628800425,430,5,14,1981,0.30039256878127785,11.614685146378187,0.6299514827994938,COMPLETE,0.9540124400200207
52,0.9455399692132416,0.5573059817014897,0.1322344393532644,depthwise,0.10873544781683452,490,5,11,836,0.2037336046647907,2.171472960349875,0.654759985571424,COMPLETE,0.9540124400200207
53,0.9547064890722685,0.5911833472464403,0.2781389342551958,depthwise,0.16162350502725614,451,6,13,2062,0.40037739089902097,6.610409867099962,0.6886817128368775,COMPLETE,0.9547064890722685
54,0.952087539347047,0.5218697125348106,1.0309060253506326,depthwise,0.16844467129303795,424,6,10,1979,0.4280621048644837,6.792350225712645,0.6916160739554174,COMPLETE,0.9547064890722685
55,0.9508737892231297,0.5221687741397202,0.9713695270575604,depthwise,0.16524341891366712,338,6,12,2029,0.8085433809948926,6.419766403422228,0.6892354361931129,COMPLETE,0.9547064890722685
56,0.9481049186354952,0.5227891896758571,1.0020008923280423,depthwise,0.16127887901868543,338,7,10,2095,1.701486416505909,2.475980489408925,0.6984761943428841,COMPLETE,0.9547064890722685
57,0.9380342826597401,0.5741638856987881,4.731410108599759,depthwise,0.14659380628580032,399,6,9,2217,3.677188803542513,5.614642098900901,0.6953867501540449,COMPLETE,0.9547064890722685
58,0.9471642900225794,0.5212193588367324,1.558991858086656,depthwise,0.17218009230439904,423,6,11,1878,0.9301934547308974,3.3477134125061916,0.7090163861147689,COMPLETE,0.9547064890722685
59,0.9489920496157312,0.5363366307914911,1.1989645368430082,depthwise,0.12329466431262895,383,7,8,2318,0.6640647763571869,0.5321186449179955,0.7438578170204345,COMPLETE,0.9547064890722685
60,0.9483604489242099,0.5007800439255267,0.5889112437339453,lossguide,0.14671647614769337,311,6,10,1716,0.0461909737504547,1.1535149733649448,0.9302212932560542,COMPLETE,0.9547064890722685
61,0.9471281134333431,0.5480184612777834,0.8898529284735599,depthwise,0.17009850632258003,349,6,12,1323,0.0011273568002424976,25.273673644088174,0.6790317648271258,COMPLETE,0.9547064890722685
62,0.9519610411347017,0.5190702573334327,0.40735766653169125,depthwise,0.199119271692596,456,6,13,1560,0.4655228626062569,7.061980529621083,0.6824915207711133,COMPLETE,0.9547064890722685
63,0.9531067915395525,0.5213157925104821,0.3786332826704359,depthwise,0.18337610511986002,460,7,15,1608,0.14433155995747038,6.5953038753496385,0.6886729379414913,COMPLETE,0.9547064890722685
64,0.9514213894709309,0.5212261445828027,1.0825115179909015,depthwise,0.15632982948527568,407,7,15,2008,0.15576537251108086,4.413188224766293,0.7314573463397133,COMPLETE,0.9547064890722685
65,0.9513124557852842,0.520160082411335,1.2574541181382453,depthwise,0.13372740590019272,458,7,15,1910,0.14858398384686594,3.8375491212117225,0.7331667395718253,COMPLETE,0.9547064890722685
66,0.9415741654570364,0.5768676821889984,0.6218677629663603,depthwise,0.1524032028408889,436,7,18,1611,0.21375731754838326,39.650957216151454,0.7750750451231253,COMPLETE,0.9547064890722685
67,0.9469105270151165,0.5671334540277,1.12693601932838,depthwise,0.12056398062723668,453,7,15,2289,0.38847538612239296,14.59233980778256,0.7170394942949383,COMPLETE,0.9547064890722685
68,0.9506087736073306,0.7399879457921628,0.3398261622040393,lossguide,0.09315771844401173,409,7,16,1774,0.1280783565726631,1.9150485163187072,0.7375247522074653,COMPLETE,0.9547064890722685
69,0.9451923090355386,0.5122215176457028,3.343311360363273,depthwise,0.199891974797098,372,6,13,2120,0.46178206263884036,0.2702147938825519,0.7604811837474421,COMPLETE,0.9547064890722685
70,0.9392625730352526,0.532541855445985,2.8034922597253296,depthwise,0.0832293320777026,420,7,17,1259,0.17258057939021823,0.6766885655936443,0.725954002424121,COMPLETE,0.9547064890722685
