Day,Dose,Elution_Cumulative,ReleaseRate
144,5,2912.183118,11.11673858
147,5,2928.086155,12.95060183
148,5,2943.58662,16.9394915
149,5,2961.965138,18.7660565
150,5,2981.118733,19.311238
151,5,3000.587614,16.45461242
154,5,3022.823034,4.022960417
155,5,3025.716379,4.827531
156,5,3032.478096,9.0235365
157,5,3043.763452,10.4245085
158,5,3053.327113,8.513590917
161,5,3069.417255,17.73271242
162,5,3091.273078,19.2172935
163,5,3107.851842,14.93922286
169,5,3138.463698,3.289897143
170,5,3141.451582,5.5860855
171,5,3149.635869,5.587523
172,5,3152.626628,6.986602
173,5,3163.609073,9.247456833
176,5,3175.73655,3.295535583
180,5,3184.934923,4.628839393
183,5,3204.062245,-1.24149225
184,5,3200.281664,1.731035
185,5,3207.524315,7.6234785
186,5,3215.528621,9.8389045
187,5,3227.202124,10.02461917
190,5,3242.436027,12.51961942
191,5,3257.436197,14.6925355
192,5,3271.821098,14.726908
193,5,3286.890013,12.9085672
197,5,3303.958717,3.215732
198,5,3306.911588,2.777491083
201,5,3313.665642,2.260484667
204,5,3320.474496,8.31470125
205,5,3330.804225,8.904938833
208,5,3344.69593,4.577873833
211,5,3358.271468,11.25510233
212,5,3371.769878,15.2869105
213,5,3388.845289,16.7309175
214,5,3405.231713,16.529078
215,5,3421.903445,15.34554931
225,5,3442.740669,7.399552036
226,5,3450.671804,7.173937452
232,5,3466.456317,10.16199831
233,5,3477.873523,12.5418375
234,5,3491.539992,10.27477483
236,5,3498.522765,3.145219367
239,5,3506.400671,22.50951292
240,5,3535.538032,29.7939375
241,5,3565.988546,24.0544645
243,5,3588.513277,9.666919167
246,5,3610.334526,7.964978167
249,5,3636.303146,7.976974774
253,5,3664.588475,1.88882005
254,5,3665.181667,0.532209119
260,5,3666.179538,0.899743932
267,5,3678.467441,2.460870589
268,5,3681.029091,2.601760286
274,5,3698.083623,2.407328901
281,5,3711.381665,4.931668536
282,5,3716.746469,4.978550482
289,5,3732.6699,2.195656071
296,5,3747.485654,2.227636357
303,5,3763.856809,2.789043143
310,5,3786.532258,4.427930732
311,5,3791.129986,4.29134231
317,5,3805.848155,2.571015386
324,5,3824.808825,2.298484518
325,5,3827.048712,2.18791356
338,5,3846.708077,8.809913918
339,5,3856.079349,8.470974595
345,5,3874.49449,2.905898507
352,5,3893.502231,5.161562946
353,5,3899.013247,5.0136929
358,5,3911.648634,2.557417006
366,5,3932.496317,-0.617420403
367,5,3931.475974,-0.598414381
373,5,3943.074918,1.884567861
380,5,3955.870079,1.5350125
394,5,3969.15996,6.046873014
395,5,3975.570947,5.796912881
401,5,3988.245756,2.368601694
408,5,4006.917725,9.566644143
409,5,4017.469972,9.479806881
415,5,4035.740969,3.041865299
422,5,4057.007069,-2.174836964
423,5,4054.087539,-2.650279511
436,5,4065.137238,-1.46971794
437,5,4063.489082,-1.278473738
443,5,4069.126801,1.205315009
450,5,4079.73385,9.562215589
451,5,4090.445626,10.09162948
464,5,4116.832048,6.094947555
