Day,Dose,Elution
208,10,4760.50538
211,10,4782.447219
212,10,4800.271578
213,10,4822.923367
214,10,4844.749113
215,10,4868.267117
225,10,4896.44096
226,10,4906.144569
232,10,4927.771228
233,10,4944.920291
234,10,4964.587507
236,10,4978.376569
239,10,4993.090637
240,10,5028.038447
241,10,5064.973458
243,10,5094.776174
246,10,5123.799129
249,10,5156.92776
253,10,5194.210891
254,10,5200.576734
260,10,5209.493214
267,10,5230.284056
268,10,5235.501888
274,10,5256.922088
281,10,5276.325176
282,10,5283.050827
289,10,5303.192535
296,10,5324.199815
303,10,5346.430632
310,10,5376.126309
311,10,5385.444819
317,10,5406.844885
324,10,5434.263477
325,10,5437.64227
338,10,5465.223507
339,10,5479.580866
345,10,5505.678773
352,10,5533.957804
353,10,5543.060959
358,10,5560.597134
366,10,5587.001541
367,10,5591.026811
373,10,5610.163181
380,10,5632.87514
394,10,5653.205202
395,10,5664.135067
401,10,5682.765173
408,10,5708.649974
409,10,5722.090933
415,10,5745.473759
422,10,5772.866984
423,10,5773.375382
436,10,5791.443077
437,10,5794.013619
443,10,5807.23721
450,10,5825.640281
451,10,5840.197642
464,10,5875.12084
465,10,5885.535073
479,10,5915.118622
480,10,5931.226349
494,10,5966.641029
495,10,5984.850626
501,10,6008.481193
508,10,6032.223687
509,10,6041.155011
515,10,6057.963697
522,10,6080.022413
523,10,6090.885494
536,10,6112.283572
542,10,6130.440691
549,10,6149.785106
550,10,6165.215909
556,10,6187.453583
563,10,6210.220591
564,10,6217.759838
571,10,6230.137333
577,10,6243.405089
578,10,6245.14525
592,10,6256.54523
593,10,6268.003746
607,10,6289.795653
608,10,6292.851258
621,10,6289.289417
622,10,6297.211854
635,10,6311.758481
636,10,6312.730228
649,10,6325.268464
650,10,6330.655977
663,10,6344.110151
1,5,23.83505053
2,5,54.84792315
3,5,95.27518561
4,5,135.6964329
8,5,181.2175277
9,5,232.027815
10,5,281.4503438
11,5,332.6230247
14,5,383.3870624
15,5,417.5933663
16,5,458.5977002
17,5,503.9462667
18,5,555.9537205
21,5,622.1636786
22,5,693.515409
23,5,774.9711376
24,5,855.8024614
25,5,946.216232
28,5,1049.231969
29,5,1061.602341
30,5,1082.125446
31,5,1107.111113
32,5,1136.571908
35,5,1183.247213
36,5,1235.116249
37,5,1289.961694
38,5,1347.30886
39,5,1408.221034
42,5,1479.701444
43,5,1475.748836
44,5,1466.820983
46,5,1471.671214
52,5,1488.048368
53,5,1494.281825
56,5,1508.988559
57,5,1525.750901
58,5,1545.982569
59,5,1570.569923
60,5,1598.59728
63,5,1633.841064
64,5,1665.469287
65,5,1701.014558
66,5,1738.963299
67,5,1781.127395
70,5,1825.989319
71,5,1845.431926
72,5,1868.671863
73,5,1895.259129
74,5,1923.916885
77,5,1959.007477
78,5,1991.832263
79,5,2030.483005
80,5,2071.620517
84,5,2121.791363
85,5,2134.074498
86,5,2149.831293
87,5,2169.612621
88,5,2193.107961
91,5,2222.745267
92,5,2255.529001
93,5,2289.845162
94,5,2325.162961
95,5,2362.085607
99,5,2402.960122
100,5,2421.862213
101,5,2442.648147
102,5,2465.796265
112,5,2503.373151
113,5,2508.428416
114,5,2517.159037
115,5,2530.250492
116,5,2546.727433
119,5,2563.67195
120,5,2581.002824
121,5,2600.058507
122,5,2620.356052
123,5,2642.378404
126,5,2671.619172
127,5,2681.189733
128,5,2695.738209
129,5,2713.274089
130,5,2733.762551
133,5,2759.569351
134,5,2786.497632
135,5,2815.750107
136,5,2845.548765
140,5,2880.624106
141,5,2887.697902
143,5,2899.127804
144,5,2912.183118
147,5,2928.086155
148,5,2943.58662
149,5,2961.965138
150,5,2981.118733
151,5,3000.587614
154,5,3022.823034
155,5,3025.716379
156,5,3032.478096
157,5,3043.763452
158,5,3053.327113
161,5,3069.417255
162,5,3091.273078
163,5,3107.851842
169,5,3138.463698
170,5,3141.451582
171,5,3149.635869
172,5,3152.626628
173,5,3163.609073
176,5,3175.73655
180,5,3184.934923
183,5,3204.062245
184,5,3200.281664
185,5,3207.524315
186,5,3215.528621
187,5,3227.202124
190,5,3242.436027
191,5,3257.436197
192,5,3271.821098
193,5,3286.890013
197,5,3303.958717
198,5,3306.911588
201,5,3313.665642
204,5,3320.474496
205,5,3330.804225
208,5,3344.69593
211,5,3358.271468
212,5,3371.769878
213,5,3388.845289
214,5,3405.231713
215,5,3421.903445
225,5,3442.740669
226,5,3450.671804
232,5,3466.456317
233,5,3477.873523
234,5,3491.539992
236,5,3498.522765
239,5,3506.400671
240,5,3535.538032
241,5,3565.988546
243,5,3588.513277
246,5,3610.334526
249,5,3636.303146
253,5,3664.588475
254,5,3665.181667
260,5,3666.179538
267,5,3678.467441
268,5,3681.029091
274,5,3698.083623
281,5,3711.381665
282,5,3716.746469
289,5,3732.6699
296,5,3747.485654
303,5,3763.856809
310,5,3786.532258
311,5,3791.129986
317,5,3805.848155
324,5,3824.808825
325,5,3827.048712
338,5,3846.708077
339,5,3856.079349
345,5,3874.49449
352,5,3893.502231
353,5,3899.013247
358,5,3911.648634
366,5,3932.496317
367,5,3931.475974
373,5,3943.074918
380,5,3955.870079
394,5,3969.15996
395,5,3975.570947
401,5,3988.245756
408,5,4006.917725
409,5,4017.469972
415,5,4035.740969
422,5,4057.007069
423,5,4054.087539
436,5,4065.137238
437,5,4063.489082
443,5,4069.126801
450,5,4079.73385
451,5,4090.445626
464,5,4116.832048
465,5,4123.239705
479,5,4143.948301
480,5,4156.016533
494,5,4185.040188
495,5,4197.779584
501,5,4214.149215
508,5,4228.411169
509,5,4231.208834
515,5,4240.849053
522,5,4254.698786
523,5,4262.224879
536,5,4275.421221
542,5,4284.735082
549,5,4295.149094
550,5,4304.50887
556,5,4319.200801
563,5,4332.502943
564,5,4334.89327
571,5,4340.719336
577,5,4346.055089
578,5,4342.32279
592,5,4346.981808
593,5,4352.532688
607,5,4367.936055
608,5,4367.845797
621,5,4356.748873
622,5,4363.702422
635,5,4374.050224
636,5,4373.261967
649,5,4377.829894
650,5,4379.796912
663,5,4388.344895
1,2,15.68549099
2,2,40.37489491
3,2,76.11809397
4,2,116.2397764
8,2,170.4360776
9,2,228.5772529
10,2,287.580553
11,2,348.764931
14,2,411.4618206
15,2,429.1202449
16,2,452.188615
17,2,477.7215026
18,2,508.5743214
21,2,548.4465207
22,2,590.8212618
23,2,642.4899697
24,2,692.3367723
25,2,748.7928855
28,2,815.4672948
29,2,820.257856
30,2,828.0542317
31,2,839.7171883
32,2,853.9568497
35,2,879.7976253
36,2,909.4304901
37,2,941.5722281
38,2,975.8516285
39,2,1012.506486
42,2,1055.621538
43,2,1049.169414
44,2,1035.930457
46,2,1033.400539
52,2,1036.209812
53,2,1028.283656
56,2,1026.71381
57,2,1039.254101
58,2,1053.588001
59,2,1069.872595
60,2,1088.404191
63,2,1114.353116
64,2,1134.835407
65,2,1158.753009
66,2,1184.427891
67,2,1212.936457
70,2,1243.002934
71,2,1257.630605
72,2,1273.479095
73,2,1291.427867
74,2,1311.314105
77,2,1335.040807
78,2,1356.0844
79,2,1382.268491
80,2,1410.115483
